pattern_id,pattern_name,pattern_type,component_name,component_type,notation,description
C1,Graph Structure,concept,\lambda_n,N → Label_n,\lambda_n,**node labeling function**
C1,Graph Structure,concept,\lambda_e,E → Label_e,\lambda_e,**edge labeling function**
P1,Direct Manipulation Canvas,pattern,viewport,Rectangle,viewport,visible area
P1,Direct Manipulation Canvas,pattern,objects,Set⟨Element⟩,objects,manipulable objects
P1,Direct Manipulation Canvas,pattern,cursor,Point,cursor,current cursor position
P1,Direct Manipulation Canvas,pattern,tools,Set⟨Tool⟩,tools,available interaction tools
P1,Direct Manipulation Canvas,pattern,state,"σ_1 ∈ \{\text{idle}, \text{dragging},",state,\text{selecting}\}$
F1.1,,flow,source,Input,source,external input source
F1.1,,flow,validator,Input → Valid | Invalid,validator,checks input validity
F1.1,,flow,normalizer,Valid → Internal,normalizer,converts to internal format
F1.1,,flow,store,Internal → Effect,store,persists in system
F1.2,,flow,source,ExternalFormat,source,external data source
F1.2,,flow,parser,ExternalFormat → ParsedData,parser,parses external format
F1.2,,flow,transformer,ParsedData → InternalData,transformer,transforms to internal schema
F1.2,,flow,integrator,InternalData → Effect,integrator,integrates into system
F1.3,,flow,stream,Stream⟨Event⟩,stream,continuous event stream
F1.3,,flow,buffer,Queue⟨Event⟩,buffer,temporarily holds events
F1.3,,flow,processor,Event → ProcessedEvent,processor,processes each event
F1.3,,flow,emitter,ProcessedEvent → Effect,emitter,emits to subscribers
C2,Document/Artifact,concept,input,Input,input,input to document/artifact
C2,Document/Artifact,concept,process,Input → Output,process,processing function
C2,Document/Artifact,concept,output,Output,output,output from document/artifact
C2,Document/Artifact,concept,display,Output → Visual,display,display function
P2,Command Interface,pattern,input,String,input,command text
P2,Command Interface,pattern,parser,String → Command | ParseError,parser,parses input
P2,Command Interface,pattern,executor,Command → Result,executor,executes commands
P2,Command Interface,pattern,history,Sequence⟨String⟩,history,command history
F2.1,,flow,stages,Sequence⟨Stage⟩,stages,transformation stages
F2.1,,flow,ir,Sequence⟨IR⟩,ir,intermediate representations
F2.1,,flow,error\_handler,Error → Recovery,error\_handler,handles stage failures
F2.1,,flow,compose,Sequence⟨Stage⟩ → (Input → Output),compose,composes stages
F2.2,,flow,agents,Set⟨Agent⟩,agents,available agents
F2.2,,flow,coordinator,Task → Agent,coordinator,assigns tasks to agents
F2.2,,flow,tasks,Queue⟨Task⟩,tasks,pending tasks
F2.2,,flow,results,"Map⟨Task, Result⟩",results,store task results
F2.3,,flow,graph,"DAG⟨Node, Dependency⟩",graph,computation dependency graph
F2.3,,flow,cache,"Map⟨Node, Value⟩",cache,stores computed values
F2.3,,flow,invalidate,Node → Set⟨Node⟩,invalidate,marks affected nodes
F2.3,,flow,recompute,Node → Value,recompute,recomputes a single node
F2.4,,flow,base,BaseData,base,input data to enrich
F2.4,,flow,enrichers,Set⟨Enricher⟩,enrichers,enrichment sources
F2.4,,flow,combine,BaseData × Set⟨Enrichment⟩ → EnrichedData,combine,merges enrichments
F2.4,,flow,output,EnrichedData,output,enriched result
C3,Symbolic Expression,concept,root,Symbol,root,root node (operator or value)
C3,Symbolic Expression,concept,children,Sequence⟨Tree⟩,children,child expressions
P3,Hierarchical Navigator,pattern,tree,Tree⟨Node⟩,tree,hierarchy
P3,Hierarchical Navigator,pattern,selection,Node | null,selection,current selection
P3,Hierarchical Navigator,pattern,expansion,Set⟨Node⟩,expansion,expanded nodes
P3,Hierarchical Navigator,pattern,breadcrumb,Sequence⟨Node⟩,breadcrumb,path to selection
F3.1,,flow,observe,Environment → Observations,observe,collects data
F3.1,,flow,learn,Observations → Model,learn,trains or updates model
F3.1,,flow,update,Model → Policy,update,updates decision policy
F3.1,,flow,apply,Policy → Actions,apply,applies learned policy
F3.2,,flow,validate,Data → Set⟨Violation⟩,validate,checks constraints
F3.2,,flow,report,Violation → Notification,report,reports issues
F3.2,,flow,correct,Violation → Correction,correct,attempts fixes
F3.2,,flow,verify,Correction → 𝔹,verify,confirms fix
F3.3,,flow,monitor,System → Metrics,monitor,observes system behavior
F3.3,,flow,detect,Metrics → Anomalies,detect,identifies issues
F3.3,,flow,adjust,Anomalies → Adjustments,adjust,modifies system
F3.3,,flow,measure,Adjustments → Performance,measure,evaluates changes
F3.4,,flow,track,UserAction → Event,track,records user behavior
F3.4,,flow,infer,Sequence⟨Event⟩ → Preferences,infer,learns preferences
F3.4,,flow,personalize,Preferences → Configuration,personalize,customizes experience
F3.4,,flow,apply,Configuration → Effect,apply,applies personalization
C4,Metadata Schema,concept,schema,"Map⟨String, Type⟩",schema,defines field types
C4,Metadata Schema,concept,data,"Map⟨String, Value⟩",data,actual metadata
C4,Metadata Schema,concept,validators,"Map⟨String, Predicate⟩",validators,validation rules
P4,Property Inspector,pattern,selection,Element | null,selection,inspected object
P4,Property Inspector,pattern,fields,"Map⟨String, Field⟩",fields,editable properties
P4,Property Inspector,pattern,validators,"Map⟨String, Validator⟩",validators,validate changes
P4,Property Inspector,pattern,commit,"(String, Value) → Effect",commit,applies changes
F4.1,,flow,state,State,state,current application state
F4.1,,flow,render,State → VirtualDOM,render,creates virtual representation
F4.1,,flow,diff,VirtualDOM × VirtualDOM → Patch,diff,computes changes
F4.1,,flow,patch,Patch → Effect,patch,applies changes to actual DOM
F4.2,,flow,trigger,Event → Notification,trigger,creates notification from event
F4.2,,flow,route,Notification → Set⟨Channel⟩,route,selects delivery channels
F4.2,,flow,format,"(Notification, Channel) → Message",format,formats for channel
F4.2,,flow,deliver,"(Message, Channel) → Effect",deliver,sends notification
F4.3,,flow,source,InternalData,source,internal data to export
F4.3,,flow,transform,InternalData → ExternalFormat,transform,converts to external format
F4.3,,flow,validate,ExternalFormat → Valid | Invalid,validate,checks output validity
F4.3,,flow,publish,Valid → Destination,publish,delivers to target
F4.4,,flow,query,Query,query,defines the view computation
F4.4,,flow,compute,Data → Result,compute,executes the query
F4.4,,flow,cache,Result,cache,stores computed result
F4.4,,flow,refresh,Trigger → Effect,refresh,updates materialized view
C5,Version History,concept,states,Sequence⟨State⟩,states,sequence of states
C5,Version History,concept,deltas,Sequence⟨Delta⟩,deltas,sequence of changes
C5,Version History,concept,branches,Tree⟨State⟩,branches,represents branch structure
F5,Collaborative Editing Flow,flow,T,O \times O → O,T,**transformation function**
F5,Collaborative Editing Flow,flow,M,U → Cursor,M,tracks **user presence**
P5,Tabbed Workspace,pattern,tabs,Sequence⟨Tab⟩,tabs,open tabs
P5,Tabbed Workspace,pattern,active,ℕ,active,active tab index
P5,Tabbed Workspace,pattern,buffers,"Map⟨Tab, Content⟩",buffers,stores tab contents
P5,Tabbed Workspace,pattern,state,"Map⟨Tab, State⟩",state,"stores tab states (dirty, saved)"
F6,Error Recovery Flow,flow,detect,Operation → Error | Success,detect,catches errors
F6,Error Recovery Flow,flow,classify,Error → ErrorType,classify,determines error category
F6,Error Recovery Flow,flow,strategy,ErrorType → RecoveryStrategy,strategy,selects recovery approach
F6,Error Recovery Flow,flow,recover,"(Error, RecoveryStrategy) → Effect",recover,executes recovery
P6,Palette/Toolbar,pattern,input,Input,input,input to palette/toolbar
P6,Palette/Toolbar,pattern,process,Input → Output,process,processing function
P6,Palette/Toolbar,pattern,output,Output,output,output from palette/toolbar
P6,Palette/Toolbar,pattern,display,Output → Visual,display,display function
P7,Breadcrumb Trail,pattern,path,Sequence⟨Node⟩,path,current location path
P7,Breadcrumb Trail,pattern,separators,String,separators,"visual separators (e.g., "" / "")"
P7,Breadcrumb Trail,pattern,actions,Node → Effect,actions,defines click behavior
P8,Search-Based Navigation,pattern,query,String,query,search query
P8,Search-Based Navigation,pattern,index,Index⟨Item⟩,index,searchable index
P8,Search-Based Navigation,pattern,results,Sequence⟨Item⟩,results,ranked results
P8,Search-Based Navigation,pattern,ranker,"(Item, String) → ℝ",ranker,scores relevance
P9,Backlinks/References,pattern,input,Input,input,input to backlinks/references
P9,Backlinks/References,pattern,process,Input → Output,process,processing function
P9,Backlinks/References,pattern,output,Output,output,output from backlinks/references
P9,Backlinks/References,pattern,display,Output → Visual,display,display function
P10,Parser/Compiler Pipeline,pattern,input,Input,input,input to parser/compiler pipeline
P10,Parser/Compiler Pipeline,pattern,process,Input → Output,process,processing function
P10,Parser/Compiler Pipeline,pattern,output,Output,output,output from parser/compiler pipeline
P10,Parser/Compiler Pipeline,pattern,display,Output → Visual,display,display function
P11,Validator/Checker,pattern,input,Input,input,input to validator/checker
P11,Validator/Checker,pattern,process,Input → Output,process,processing function
P11,Validator/Checker,pattern,output,Output,output,output from validator/checker
P11,Validator/Checker,pattern,display,Output → Visual,display,display function
P12,Solver/Optimizer,pattern,input,Input,input,input to solver/optimizer
