id,version,name,category,status,complexity,domains,last_updated,tuple_notation,definition_desc,num_components,num_properties,num_operations,num_type_definitions,num_manifestations,component_names,property_names,operation_names,requires,uses,specializes,specialized_by,manifestation_names
C1,1.1,Graph Structure,concept,stable,medium,Data Structures|Graph Theory,2025-11-23,"$G = (N, E, \lambda_n, \lambda_e)$","A graph structure represents entities (nodes) and their relationships (edges), fundamental to modeling connected data.",2,2,3,0,7,\lambda_n|\lambda_e,Connectivity|Cycle Detection,Path|Traverse|Neighbors,,,,,Knowledge graphs|File trees|Feature history|Axiom dependencies|Part hierarchies|Social networks|Dependency graphs
C2,1.1,Document/Artifact,pattern,stable,medium,Data Structures|Formal Methods,2025-11-23,"$doc = (state, process, visualize, interact) : \text{Input} \to \text{Output}$","Documents and artifacts process input to produce output, encapsulating computational transformation patterns.",4,4,3,3,3,input|process|output|display,Correctness|Performance|Consistency|Usability,Process|Display|Update,,,,,Document/Artifact in modern applications|Web-based document/artifact|Mobile document/artifact
C3,1.1,Symbolic Expression,concept,stable,medium,Formal Methods|Type Systems,2025-11-23,"$T = (root, children)$",Symbolic expressions represent mathematical and computational formulas as structured tree data.,2,3,3,0,6,root|children,Parseability|Evaluability|Transformability,Parse|Evaluate|Simplify,,,,,Symbolic math|Tags/taxonomies|Code AST|Mathematical formulas|Constraints|Queries
C4,1.1,Metadata Schema,concept,stable,medium,Metadata|Schema Design,2025-11-23,"$M = (schema, data, validators)$",Metadata schemas define structured data fields with types and validation rules.,3,3,3,0,5,schema|data|validators,Type Safety|Validation|Extensibility,Add Field|Query|Index,,,,,Tags|Properties|Attributes|Annotations|Labels
C5,1.1,Version History,concept,stable,medium,Version Control|History Tracking,2025-11-23,"$H = (states, deltas, branches)$",Version history tracks changes over time as immutable states and deltas.,3,3,3,0,6,states|deltas|branches,Immutability|Reconstructability|Branching,Checkout|Diff|Revert,,,,,Git commits|Document revisions|Database transaction log|Edit history|Feature sequence|Proof versions
F1.1,1.1,Input Capture Flow,pattern,stable,medium,Process Flow|Architecture,2025-11-23,"$F = (source, validator, normalizer, store)$",Input capture validates and normalizes external inputs before storing in the system.,4,3,3,4,5,source|validator|normalizer|store,Validation Required|Normalization|Persistence,Capture|Validate|Normalize,,,,,User input forms|File upload handlers|API request handlers|Sensor data ingestion|Clipboard paste operations
F1.2,1.1,Data Import Flow,pattern,stable,medium,Process Flow|Architecture,2025-11-23,"$I = (source, parser, transformer, integrator)$",Data import parses external formats and transforms them to internal schema.,4,3,3,4,5,source|parser|transformer|integrator,Format Support|Schema Transformation|Conflict Resolution,Import|Parse|Transform,,,,,File importers|Database migration tools|API integrations|Bulk data imports|Document converters
F1.3,1.1,Live Data Stream Flow,pattern,stable,medium,Process Flow|Architecture,2025-11-23,"$L = (stream, buffer, processor, emitter)$",Live data stream processes continuous event flows with buffering and backpressure.,4,3,3,3,5,stream|buffer|processor|emitter,Ordering Preservation|Backpressure Handling|At-Least-Once Delivery,Stream|Process|Emit,,,,,Real-time data feeds|WebSocket connections|Event streaming|Live metrics collection|Chat/messaging systems
F2.1,1.1,Processing Pipeline Flow,pattern,stable,medium,Process Flow|Architecture,2025-11-23,"$P = (stages, ir, error\_handler, compose)$",Processing pipelines compose sequential transformation stages with intermediate representations.,4,3,3,3,5,stages|ir|error\_handler|compose,Sequential Composition|Error Propagation|Determinism,Execute Pipeline|Compose Stages|Handle Error,,,,,Compiler pipelines|Data transformation|Build systems|Markdown renderers|Image processing
F2.3,1.1,Validation Flow,pattern,stable,medium,Process Flow|Architecture,2025-11-23,"$I = (graph, cache, invalidate, recompute)$",Validation flows check data integrity and business rules at processing boundaries.,4,3,6,5,5,graph|cache|invalidate|recompute,Complete Validation|Fail-Fast|Violation Reporting,Update|Invalidate|Recompute|Validate Schema|Validate Business Rules|Report Violations,,,,,Spreadsheet recalculation|Build systems|Reactive frameworks|Query optimization|Dataflow programming
