pattern_id,pattern_name,pattern_type,type_name,definition
F1.1,,flow,Input,External data or event
F1.1,,flow,Valid,Validated input that passed checks
F1.1,,flow,Internal,Normalized internal representation
F1.1,,flow,Effect,Side effect of storage operation
F1.2,,flow,ExternalFormat,File | Stream | API Response
F1.2,,flow,ParsedData,Structured representation of external data
F1.2,,flow,InternalData,Data conforming to internal schema
F1.2,,flow,MergeStrategy,Replace | Merge | Append
F1.3,,flow,Event,"(timestamp: Time, data: Data, metadata: Metadata)"
F1.3,,flow,ProcessedEvent,Validated and enriched event
F1.3,,flow,Subscriber,"(id: String, callback: ProcessedEvent → Effect)"
C2,Document/Artifact,concept,Input,$\text{Input} = \text{Data}$
C2,Document/Artifact,concept,Output,$\text{Output} = \text{Result}$
C2,Document/Artifact,concept,State,"$\text{State} = (\text{data}, \text{timestamp})$"
F2.1,,flow,Stage,"(name: String, transform: Input → Output | Error)"
F2.1,,flow,IR,Intermediate representation between stages
F2.1,,flow,Recovery,Retry | Skip | Abort | Fallback
F2.2,,flow,Agent,"(id: String, capabilities: Set⟨Capability⟩,"
F2.2,,flow,Task,"(id: String, requirements: Set⟨Capability⟩,"
F2.2,,flow,Result,Success(value: Value) | Failure(error: Error)
F2.3,,flow,Node,"(id: String, compute: Inputs → Output, dependencies: Set⟨Node⟩)"
F2.3,,flow,Dependency,"(source: Node, target: Node)"
F2.4,,flow,BaseData,Core data requiring enrichment
F2.4,,flow,Enricher,"(source: String, enrich: BaseData → Enrichment)"
F2.4,,flow,Enrichment,Additional data from external source
F2.4,,flow,EnrichedData,BaseData + aggregated Enrichments
F3.1,,flow,Observations,"Sequence⟨(State, Action, Reward)⟩"
F3.1,,flow,Model,Learned representation of environment
F3.1,,flow,Policy,Decision-making strategy
F3.1,,flow,Actions,Commands applied to environment
F3.2,,flow,Violation,"(rule: Rule, location: Location, severity: Severity)"
F3.2,,flow,Rule,"(id: String, check: Data → 𝔹, message: String)"
F3.2,,flow,Correction,Automatic(fix: Fix) | Manual(suggestion: String)
F3.2,,flow,Severity,Error | Warning | Info
F3.3,,flow,Metrics,"Map⟨String, Value⟩"
F3.3,,flow,Anomaly,"(metric: String, threshold: ℝ, actual: ℝ, severity: ℕ)"
F3.3,,flow,Adjustment,"(parameter: String, old_value: Value, new_value: Value)"
F3.3,,flow,Performance,Improvement | Degradation | Neutral
F3.4,,flow,UserAction,Click | View | Purchase | Search | Rate | Configure
