source_id,source_name,source_type,target_id,target_name,target_type,relationship_type,is_circular,is_valid
P28,Progress Indicator,pattern,P26,Status Bar/Indicator,pattern,uses,no,yes
P28,Progress Indicator,pattern,P27,Toast/Notification,pattern,uses,no,yes
P64,Generative UI,pattern,P65,Streaming Component,pattern,uses,yes,yes
P64,Generative UI,pattern,P112,Event Stream Visualization,pattern,uses,no,yes
P64,Generative UI,pattern,P115,Event-Driven State Updates,pattern,uses,no,yes
P65,Streaming Component,pattern,P22,Event Bus,pattern,requires,no,yes
P65,Streaming Component,pattern,P114,Stream Backpressure,pattern,requires,no,yes
P65,Streaming Component,pattern,P64,Generative UI,pattern,uses,yes,yes
P65,Streaming Component,pattern,P115,Event-Driven State Updates,pattern,uses,no,yes
P66,Context-Adaptive Interface,pattern,P64,Generative UI,pattern,uses,no,yes
P66,Context-Adaptive Interface,pattern,P67,Progressive Disclosure by AI,pattern,uses,yes,yes
P66,Context-Adaptive Interface,pattern,P136,User Preference Learning,pattern,uses,no,yes
P66,Context-Adaptive Interface,pattern,P137,Adaptive Interface,pattern,uses,no,yes
P67,Progressive Disclosure by AI,pattern,P3,Hierarchical Navigator,pattern,uses,no,yes
P67,Progressive Disclosure by AI,pattern,P37,Empty State Pattern,pattern,uses,no,yes
P67,Progressive Disclosure by AI,pattern,P66,Context-Adaptive Interface,pattern,uses,yes,yes
P68,Agent Team Visualization,pattern,P14,Agent Swarm,pattern,requires,no,yes
P68,Agent Team Visualization,pattern,P69,Agent Activity Timeline,pattern,uses,yes,yes
P68,Agent Team Visualization,pattern,P71,Orchestration Dashboard,pattern,uses,yes,yes
P68,Agent Team Visualization,pattern,P93,Agent Thinking Indicator,pattern,uses,no,yes
P69,Agent Activity Timeline,pattern,P22,Event Bus,pattern,requires,no,yes
P69,Agent Activity Timeline,pattern,P68,Agent Team Visualization,pattern,uses,yes,yes
P69,Agent Activity Timeline,pattern,P112,Event Stream Visualization,pattern,uses,yes,yes
P69,Agent Activity Timeline,pattern,P124,Agent Trace Viewer,pattern,uses,no,yes
P70,Agent Handoff,pattern,P14,Agent Swarm,pattern,requires,no,yes
P70,Agent Handoff,pattern,P68,Agent Team Visualization,pattern,uses,no,yes
P70,Agent Handoff,pattern,P69,Agent Activity Timeline,pattern,uses,no,yes
P70,Agent Handoff,pattern,P91,Intervention Request,pattern,uses,no,yes
P71,Orchestration Dashboard,pattern,F2.2,,flow,requires,no,yes
P71,Orchestration Dashboard,pattern,P14,Agent Swarm,pattern,requires,no,yes
P71,Orchestration Dashboard,pattern,P68,Agent Team Visualization,pattern,uses,yes,yes
P71,Orchestration Dashboard,pattern,P69,Agent Activity Timeline,pattern,uses,yes,yes
P71,Orchestration Dashboard,pattern,P129,Performance Metrics Dashboard,pattern,uses,no,yes
P72,Agent Role Selector,pattern,P14,Agent Swarm,pattern,requires,no,yes
