pattern_id,pattern_name,pattern_type,manifestation_name,description
C1,Graph Structure,concept,Knowledge graphs,
C1,Graph Structure,concept,File trees,
C1,Graph Structure,concept,Feature history,CAD
C1,Graph Structure,concept,Axiom dependencies,proof assistants
C1,Graph Structure,concept,Part hierarchies,engineering
C1,Graph Structure,concept,Social networks,
C1,Graph Structure,concept,Dependency graphs,
P1,Direct Manipulation Canvas,pattern,Graph editor,knowledge graphs
P1,Direct Manipulation Canvas,pattern,3D viewport,CAD
P1,Direct Manipulation Canvas,pattern,Drawing canvas,vector graphics
P1,Direct Manipulation Canvas,pattern,Visual editor,page builders
P1,Direct Manipulation Canvas,pattern,Diagram editors,
F1.1,,flow,User input forms,
F1.1,,flow,File upload handlers,
F1.1,,flow,API request handlers,
F1.1,,flow,Sensor data ingestion,
F1.1,,flow,Clipboard paste operations,
F1.2,,flow,File importers,"CSV, JSON, XML"
F1.2,,flow,Database migration tools,
F1.2,,flow,API integrations,
F1.2,,flow,Bulk data imports,
F1.2,,flow,Document converters,
F1.3,,flow,Real-time data feeds,
F1.3,,flow,WebSocket connections,
F1.3,,flow,Event streaming,"Kafka, RabbitMQ"
F1.3,,flow,Live metrics collection,
F1.3,,flow,Chat/messaging systems,
C2,Document/Artifact,concept,Document/Artifact in modern applications,implements document/artifact pattern
C2,Document/Artifact,concept,Web-based document/artifact,browser implementation of document/artifact
C2,Document/Artifact,concept,Mobile document/artifact,mobile app implementation
P2,Command Interface,pattern,Search bar,"Google, Spotlight"
P2,Command Interface,pattern,Command line,"Terminal, bash"
P2,Command Interface,pattern,Command palette,VS Code Ctrl+Shift+P
P2,Command Interface,pattern,Query input,SQL clients
F2.1,,flow,Compiler pipelines,source → AST → IR → binary
F2.1,,flow,Data transformation,ETL pipelines
F2.1,,flow,Build systems,source → compile → link → package
F2.1,,flow,Markdown renderers,MD → AST → HTML
F2.1,,flow,Image processing,raw → decode → transform → encode
F2.2,,flow,Multi-agent AI systems,
F2.2,,flow,Task distribution in distributed systems,
F2.2,,flow,Worker pool management,
F2.2,,flow,Microservice orchestration,
F2.2,,flow,Parallel computation frameworks,
F2.3,,flow,Spreadsheet recalculation,
F2.3,,flow,Build systems,"Make, Bazel"
F2.3,,flow,Reactive frameworks,"React, Vue"
F2.3,,flow,Query optimization,
F2.3,,flow,Dataflow programming,
F2.4,,flow,Data augmentation,ML training
F2.4,,flow,Content enrichment,"metadata, tags"
F2.4,,flow,Profile enrichment,user data + social + behavior
F2.4,,flow,Product enrichment,details + reviews + pricing
F2.4,,flow,Log enrichment,traces + metrics + context
C3,Symbolic Expression,concept,Mathematical formulas,"LaTeX, MathML"
C3,Symbolic Expression,concept,Code AST,"Python, JavaScript"
C3,Symbolic Expression,concept,Constraints,SMT-LIB
C3,Symbolic Expression,concept,Queries,"SQL, GraphQL"
C3,Symbolic Expression,concept,Tags/taxonomies,
P3,Hierarchical Navigator,pattern,File explorer,OS file browser
P3,Hierarchical Navigator,pattern,Feature tree,CAD
P3,Hierarchical Navigator,pattern,Theorem library,Lean
P3,Hierarchical Navigator,pattern,Layer panel,Photoshop
P3,Hierarchical Navigator,pattern,Outline view,Word
F3.1,,flow,Reinforcement learning systems,
F3.1,,flow,Recommender systems,
F3.1,,flow,Adaptive user interfaces,
F3.1,,flow,Auto-tuning systems,
F3.1,,flow,Online learning algorithms,
F3.2,,flow,Form validation with corrections,
F3.2,,flow,Code linters with auto-fix,
F3.2,,flow,Data quality checks,
F3.2,,flow,Schema validation,
F3.2,,flow,Constraint satisfaction solvers,
F3.3,,flow,Auto-scaling systems,
F3.3,,flow,Self-healing infrastructure,
F3.3,,flow,Adaptive bitrate streaming,
