pattern_id,pattern_name,component_name,component_type,notation,description
,,query,Query,query,defines the view computation
,,compute,Data → Result,compute,executes the query
,,cache,Result,cache,stores computed result
,,refresh,Trigger → Effect,refresh,updates materialized view
C1,Graph Structure,\lambda_n,N → Label_n,\lambda_n,**node labeling function**
C1,Graph Structure,\lambda_e,E → Label_e,\lambda_e,**edge labeling function**
P1,Direct Manipulation Canvas,viewport,Rectangle,viewport,visible area
P1,Direct Manipulation Canvas,objects,Set⟨Element⟩,objects,manipulable objects
P1,Direct Manipulation Canvas,cursor,Point,cursor,current cursor position
P1,Direct Manipulation Canvas,tools,Set⟨Tool⟩,tools,available interaction tools
P1,Direct Manipulation Canvas,state,"σ_1 ∈ \{\text{idle}, \text{dragging},",state,\text{selecting}\}$
C2,Document/Artifact,input,Input,input,input to document/artifact
C2,Document/Artifact,process,Input → Output,process,processing function
C2,Document/Artifact,output,Output,output,output from document/artifact
C2,Document/Artifact,display,Output → Visual,display,display function
P2,Command Interface,input,String,input,command text
P2,Command Interface,parser,String → Command | ParseError,parser,parses input
P2,Command Interface,executor,Command → Result,executor,executes commands
P2,Command Interface,history,Sequence⟨String⟩,history,command history
C3,Symbolic Expression,root,Symbol,root,root node (operator or value)
C3,Symbolic Expression,children,Sequence⟨Tree⟩,children,child expressions
P3,Hierarchical Navigator,tree,Tree⟨Node⟩,tree,hierarchy
P3,Hierarchical Navigator,selection,Node | null,selection,current selection
P3,Hierarchical Navigator,expansion,Set⟨Node⟩,expansion,expanded nodes
P3,Hierarchical Navigator,breadcrumb,Sequence⟨Node⟩,breadcrumb,path to selection
C4,Metadata Schema,schema,"Map⟨String, Type⟩",schema,defines field types
C4,Metadata Schema,data,"Map⟨String, Value⟩",data,actual metadata
C4,Metadata Schema,validators,"Map⟨String, Predicate⟩",validators,validation rules
P4,Property Inspector,selection,Element | null,selection,inspected object
P4,Property Inspector,fields,"Map⟨String, Field⟩",fields,editable properties
P4,Property Inspector,validators,"Map⟨String, Validator⟩",validators,validate changes
P4,Property Inspector,commit,"(String, Value) → Effect",commit,applies changes
C5,Version History,states,Sequence⟨State⟩,states,sequence of states
C5,Version History,deltas,Sequence⟨Delta⟩,deltas,sequence of changes
C5,Version History,branches,Tree⟨State⟩,branches,represents branch structure
F5,Collaborative Editing Flow,T,O \times O → O,T,**transformation function**
F5,Collaborative Editing Flow,M,U → Cursor,M,tracks **user presence**
P5,Tabbed Workspace,tabs,Sequence⟨Tab⟩,tabs,open tabs
P5,Tabbed Workspace,active,ℕ,active,active tab index
P5,Tabbed Workspace,buffers,"Map⟨Tab, Content⟩",buffers,stores tab contents
P5,Tabbed Workspace,state,"Map⟨Tab, State⟩",state,"stores tab states (dirty, saved)"
F6,Error Recovery Flow,detect,Operation → Error | Success,detect,catches errors
F6,Error Recovery Flow,classify,Error → ErrorType,classify,determines error category
